Date,Equity,Daily_Return,Drawdown
2021-09-03,9902.1948,0.0002636777331410656,-0.019048899143290554
2021-09-07,9895.1112,-0.0007153565591336841,-0.01975062894747781
2021-09-08,9895.8433,7.398603059671771e-05,-0.019678104187518697
2021-09-09,9891.7475,-0.00041389095156763034,-0.020083850549819093
2021-09-10,9892.0114,2.6678804730950745e-05,-0.020057707558215232
2021-09-13,9891.03,-9.92113696915986e-05,-0.02015492897526716
2021-09-14,9892.4393,0.00014248263325455923,-0.020015318069366073
2021-09-15,9890.4991,-0.00019612958352943632,-0.020207522056898353
2021-09-16,9894.101,0.0003641777794609613,-0.019850703407948367
2021-09-17,9894.3019,2.0305028218370325e-05,-0.019830801448822877
2021-09-20,9893.8372,-4.696642620138913e-05,-0.01987683649315153
2021-09-21,9892.4995,-0.0001352053781519258,-0.02000935441610896
2021-09-22,9892.1692,-3.338893269588805e-05,-0.020042075257816983
2021-09-23,9895.3471,0.0003212541087551646,-0.019727259748086423
2021-09-24,9900.0129,0.0004715145363620721,-0.019265046901458138
2021-09-27,9893.6757,-0.0006401203780249665,-0.01989283533037789
2021-09-28,9892.8014,-8.836958340963097e-05,-0.019979446992216543
2021-09-29,9895.1856,0.00024100352403721992,-0.019743258585312784
2021-09-30,9900.0755,0.000494169609107642,-0.019258845494582677
2021-10-01,9936.0538,0.0036341440022349403,-0.015694690910191822
2021-10-04,9936.6344,5.843366105784398e-05,-0.015637174347382987
2021-10-05,9934.866,-0.00017796770302835885,-0.015812359138410947
2021-10-06,9934.3823,-4.868711867889175e-05,-0.015860276398883877
2021-10-07,9938.8497,0.00044969076738676783,-0.015417717851361812
2021-10-08,9940.6891,0.0001850717191145268,-0.015235499515794948
2021-10-11,9934.7915,-0.0005932787898980107,-0.015819739406976674
2021-10-12,9937.8497,0.00030782729562073285,-0.015516781858954998
2021-10-13,9933.8473,-0.00040274306020160466,-0.0159132756429462
2021-10-14,9935.2372,0.00013991557933445975,-0.01577558657879241
2021-10-15,9937.7214,0.0002500393246775978,-0.015529491771129278
2021-10-18,9939.2198,0.0001507790306940482,-0.015381054262151528
2021-10-19,9953.3266,0.0014193065737413413,-0.013983578119835638
2021-10-20,9956.071,0.0002757269112418914,-0.013711706857396866
2021-10-21,9958.1355,0.00020736091576689653,-0.013507189213720627
