Window_Start,Window_End,Sector,Stock_A,Stock_B,p_value,alpha,beta,Std
2012-10-09,2013-04-12,Communication Services,GOOGL,GOOG,2.9704372858636547e-18,0.004686858967850149,1.0000000995719311,9.158276277522964e-08
2012-10-09,2013-04-12,Real Estate,ESS,MAA,1.6822646324671217e-08,1.0137690622704991,0.9663275043591015,0.016226853757072047
2012-10-09,2013-04-12,Real Estate,AVB,MAA,3.793369424943018e-07,1.0591062183535962,0.9293652003995869,0.013730382221801877
2012-10-09,2013-04-12,Real Estate,ARE,KIM,8.709632379441948e-07,2.621785269673743,0.511350586416174,0.01684006276001397
2012-10-09,2013-04-12,Communication Services,CHTR,LUMN,1.0309094003655017e-06,-1.10184585254268,1.88531417711194,0.032549529231427295
2012-10-09,2013-04-12,Real Estate,ARE,SLG,1.1789992238652972e-06,1.609248151991489,0.5832078190159005,0.015379929726169422
2012-10-09,2013-04-12,Utilities,AEE,D,2.425313013168422e-06,-0.30504910351022385,0.9850812157837758,0.014536225044612916
2012-10-09,2013-04-12,Information Technology,AAPL,TDY,3.606214656019179e-06,-9.027869292555073,2.8827524103844824,0.06935890788014715
2012-10-09,2013-04-12,Information Technology,ADBE,MSFT,7.564238154341642e-06,0.5878364030370284,0.9069140208425732,0.02651431088514053
2012-10-09,2013-04-12,Information Technology,APH,INTU,1.1087558021936334e-05,-6.400805857275715,2.0870909433384393,0.04099367909795908
2012-11-09,2013-05-13,Communication Services,GOOGL,GOOG,7.523902659984419e-30,0.004687024952391927,1.0000000384657737,9.828194377589995e-08
2012-11-09,2013-05-13,Real Estate,AVB,MAA,1.2211759830492755e-07,1.1881861125951518,0.8942737456251357,0.011544298243866623
2012-11-09,2013-05-13,Health Care,CRL,TMO,2.3301185138099337e-07,-1.124132528077723,1.18399873772265,0.026323279971150713
2012-11-09,2013-05-13,Real Estate,ESS,MAA,3.6741293007637195e-07,1.109433151708431,0.9405139511309543,0.013136821829599
2012-11-09,2013-05-13,Financials,CB,CPAY,1.6216335720355344e-06,2.9143621175327987,0.3053233223639472,0.01992218406340145
2012-11-09,2013-05-13,Information Technology,ADBE,NXPI,4.052706962613774e-06,2.283739483959934,0.3935359304941512,0.024855488410764022
2012-11-09,2013-05-13,Financials,L,V,5.5277708795855545e-06,2.6876307791705596,0.28164708624530516,0.018415605315123082
2012-11-09,2013-05-13,Financials,ALL,L,2.6102335418292027e-05,-8.675966239191885,3.288704765717845,0.06338400095474499
2012-11-09,2013-05-13,Industrials,LMT,WAB,2.708483332940917e-05,0.5845850913009372,0.9758283568655339,0.024829537260601393
2012-11-09,2013-05-13,Financials,AJG,NTRS,2.9222664717061995e-05,0.8028462286597549,0.7119813016138647,0.0173590946640024
2012-12-11,2013-06-12,Communication Services,GOOGL,GOOG,7.04572649432948e-30,0.004687116155950466,1.0000000053187867,1.0440818174111825e-07
2012-12-11,2013-06-12,Real Estate,AVB,MAA,2.304228932787881e-07,1.1701705722408196,0.8990154823335674,0.011786462842013744
2012-12-11,2013-06-12,Real Estate,ESS,MAA,1.4846146235426162e-06,1.2235312328789811,0.9094011585122284,0.012395579796422446
2012-12-11,2013-06-12,Industrials,CTAS,FLS,4.497655636119212e-06,0.10024020444837733,0.5849367836895754,0.03535528303505052
2012-12-11,2013-06-12,Industrials,CTAS,NDSN,5.494210424295501e-06,0.2672284056773207,0.48049105051201246,0.042096555663169576
2012-12-11,2013-06-12,Industrials,CTAS,WAB,2.3035047487430955e-05,-1.152973940163068,0.9121960703520349,0.034204501660817434
2012-12-11,2013-06-12,Real Estate,AVB,ESS,3.247617410765551e-05,0.09300007973348656,0.959578064847401,0.010704321918928034
2012-12-11,2013-06-12,Information Technology,CDNS,ORCL,3.2687963145783574e-05,-1.339060096116996,1.1920041120933236,0.04117392970046344
2012-12-11,2013-06-12,Information Technology,AAPL,FICO,3.4492471568154616e-05,-5.0811668419487015,2.1231377172185715,0.0559194033925644
2012-12-11,2013-06-12,Information Technology,APH,INTU,3.52054926547745e-05,-6.243083628020498,2.0475804700520386,0.040609706306134294
2013-01-11,2013-07-12,Communication Services,GOOGL,GOOG,5.172819841708097e-30,0.00468701401078131,1.000000042786583,1.0637362364470763e-07
2013-01-11,2013-07-12,Consumer Discretionary,CCL,HD,1.4065603672019742e-07,0.7075663147982494,0.7018173557317569,0.03229129878628404
2013-01-11,2013-07-12,Real Estate,AVB,MAA,1.8268042487138599e-06,1.0844145834637424,0.9221212278045174,0.011255596512868404
2013-01-11,2013-07-12,Utilities,AWK,PPL,3.883217024118127e-06,-0.31523259766680933,1.3522265994355935,0.02526590162182698
2013-01-11,2013-07-12,Real Estate,ESS,MAA,1.3592446123959497e-05,1.1568741042914328,0.9274972022392609,0.012115338698296736
2013-01-11,2013-07-12,Information Technology,INTU,TYL,1.652809547212275e-05,3.082724993046788,0.23504841135796872,0.021122416102535523
2013-01-11,2013-07-12,Information Technology,INTU,ORCL,2.1225961910440824e-05,2.771876450064931,0.36892313351343653,0.018756173427186836
2013-01-11,2013-07-12,Financials,CB,CPAY,2.2057956084688124e-05,2.842970360972201,0.32446558289698624,0.0179863920732332
2013-01-11,2013-07-12,Health Care,TMO,VTRS,2.654001552728609e-05,1.39707807674244,0.8791181675104071,0.025596753580082017
2013-01-11,2013-07-12,Industrials,CSX,NSC,2.8423873788468524e-05,-0.6659715689090174,0.6140395689810305,0.016410370243747398
2013-02-12,2013-08-12,Communication Services,GOOGL,GOOG,8.012905371925121e-30,0.004686948662536494,1.0000000654605032,1.1057697807315336e-07
2013-02-12,2013-08-12,Information Technology,NXPI,ZBRA,2.296226324795891e-06,-1.3826246602337282,1.2272615813578818,0.04916728789822679
2013-02-12,2013-08-12,Consumer Cyclical,CPRI,KBH,1.5075684811715373e-05,3.0136345593085503,0.3645984212287422,0.0755652405926345
2013-02-12,2013-08-12,Consumer Cyclical,CPRI,GT,1.656710399421462e-05,1.8739827916762772,0.8393805547750839,0.0993978103262247
2013-02-12,2013-08-12,Financials,TFC,WTW,2.3607125328771733e-05,-1.8290319115881184,1.1013274088382068,0.03623509766193285
2013-02-12,2013-08-12,Consumer Cyclical,CPRI,CCK,3.159951099676067e-05,-4.444728963172648,2.3402581329370236,0.09275271245485962
2013-02-12,2013-08-12,Consumer Discretionary,CCL,HD,3.3954174785250374e-05,0.45772533206971633,0.7679984046662215,0.023304168121221366
2013-02-12,2013-08-12,Real Estate,DOC,VTR,5.333346202356173e-05,-0.749815575870709,1.012365082703621,0.01049837352323366
2013-02-12,2013-08-12,Financials,CB,CPAY,6.324136752990104e-05,2.762222769970157,0.34620486453721167,0.017778582927171337
2013-02-12,2013-08-12,Industrials,BLDR,MAS,6.702092702278668e-05,-1.694322175046573,1.37220007700457,0.07469091079641746
2013-03-14,2013-09-11,Communication Services,GOOGL,GOOG,1.4868240375459412e-29,0.004686819008271503,1.0000001116859445,1.1314631709164686e-07
2013-03-14,2013-09-11,Information Technology,ADSK,ON,5.959866655749828e-07,2.1264079254293455,0.7281731485293784,0.033970208696644355
2013-03-14,2013-09-11,Health Care,DXCM,PODD,1.7581229301396867e-05,-3.686785182784671,1.5989823150235012,0.05040164686886619
2013-03-14,2013-09-11,Financials,AXP,NDAQ,3.159272006081359e-05,3.3045797213399033,0.30088612876552984,0.025451692795377467
2013-03-14,2013-09-11,Health Care,UHS,ZBH,3.684513825403815e-05,-3.350628767707354,1.7549612214069885,0.03549169586590631
2013-03-14,2013-09-11,Industrials,CSX,NSC,4.730677685413042e-05,-0.8626131725470594,0.6655016509249353,0.015045227959085816
2013-03-14,2013-09-11,Financials,KEY,KKR,9.946043400551572e-05,0.31493784220859605,0.5929532105268709,0.024677430864934128
2013-03-14,2013-09-11,Information Technology,NXPI,ZBRA,0.00011093876785990961,-1.7982220237089928,1.343674135038407,0.047173956721921866
2013-03-14,2013-09-11,Financials,CB,CPAY,0.00011284570935110817,2.8296381657794734,0.32806835146100777,0.018230625102460936
2013-03-14,2013-09-11,Information Technology,INTU,TYL,0.00011724416069863205,2.929472461822665,0.2763946776200206,0.02304344869603856
2013-04-15,2013-10-10,Communication Services,GOOGL,GOOG,2.5738727617740186e-29,0.004686926430909011,1.0000000720468285,1.1575642408181184e-07
2013-04-15,2013-10-10,Information Technology,ADSK,ON,3.2050166521228038e-06,2.069611995968658,0.7584303736499833,0.03392493055713628
2013-04-15,2013-10-10,Industrials,RSG,WAB,5.781155617701016e-06,0.5195571631591379,0.7019323026678996,0.033098581449644414
2013-04-15,2013-10-10,Information Technology,INTU,TYL,1.1184385163231553e-05,2.8291844572095193,0.30224211001560397,0.020943941462397545
2013-04-15,2013-10-10,Financials,RF,WFC,1.4287893324164898e-05,-3.748138899008298,1.6710112177548886,0.028128442728985504
2013-04-15,2013-10-10,Financials,L,RJF,2.1452632627469786e-05,2.718269326318583,0.30869937162066996,0.014494160607979095
2013-04-15,2013-10-10,Financials,L,TROW,3.355116344412734e-05,2.1863099489486255,0.39721313821517124,0.013376775996919294
2013-04-15,2013-10-10,Financials,BAC,MA,3.421087235175212e-05,-5.714742546307488,2.047861103301723,0.048032694629514205
2013-04-15,2013-10-10,Financials,BX,L,4.886456338005468e-05,-12.776284280754535,4.047636614669148,0.06906326710801843
2013-04-15,2013-10-10,Information Technology,CTSH,CRM,5.226316641919096e-05,-0.1666470864885778,0.9823091778424582,0.03660700459384747
2013-05-14,2013-11-08,Communication Services,GOOGL,GOOG,5.942393941704069e-29,0.004686828371214036,1.0000001073224891,1.1784453169322316e-07
2013-05-14,2013-11-08,Financials,CB,TRV,1.1894059335144531e-07,1.2163894101641772,0.7299980065581658,0.010342102709115784
2013-05-14,2013-11-08,Consumer Cyclical,AAP,HRB,1.2232848614242579e-06,3.627892228329001,0.2161867810872659,0.04802326407557862
2013-05-14,2013-11-08,Information Technology,ADSK,ON,3.907996182577248e-06,2.0773426534584036,0.7546010079456857,0.03404349736734328
2013-05-14,2013-11-08,Financials,CBOE,L,5.560827691551145e-06,-6.813119877278184,2.7434249470868517,0.042909066369346424
