Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (PCA),5,0.0,20,9766.68,-0.022338986,-0.0061426163,-0.9227567395714303,-0.023511415,341,59,674.461181640625,-907.7818603515625,681,0.2745961820851689,0.7429771524399288,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top5_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),5,0.0,60,10003.483,0.0020614862,0.0005618334,0.01730163710909441,-0.01138716,162,60,512.0907592773438,-508.6070861816406,328,0.2896341463414634,1.0068494387717968,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top5_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.0,60,9880.177,-0.011574447,-0.0031700134,-0.8961993345994814,-0.01474179,653,276,417.62127685546875,-537.444580078125,1319,0.2714177407126611,0.7770499365623181,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.0,0,9905.223,-0.0093230605,-0.0025513172,-0.8553129587698919,-0.011070099,876,566,329.3595886230469,-424.1365966796875,1773,0.2222222222222222,0.7765413105150716,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.15,60,9880.913,-0.011500537,-0.0031496882,-0.8904488850773352,-0.0147439055,653,277,417.6632080078125,-536.7501220703125,1319,0.2714177407126611,0.7781334196941272,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.0,20,9729.565,-0.026469171,-0.0072894096,-1.6109996136309055,-0.027254784,1277,186,646.2200927734375,-916.6547241210938,2552,0.30250783699059564,0.7049765585324897,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.15,0,9905.223,-0.0093230605,-0.0025513172,-0.8553129587698919,-0.011070099,876,566,329.3595886230469,-424.1365966796875,1773,0.2222222222222222,0.7765413105150716,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.05,0,9892.232,-0.010622561,-0.002908349,-0.9768726160961279,-0.011143654,876,567,319.69000244140625,-427.4573059082031,1773,0.22165820642978004,0.7478875621558799,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (PCA),20,0.15,20,9730.66,-0.026359558,-0.0072589517,-1.613882561850083,-0.0271453,1275,187,645.3458862304688,-914.6854248046875,2548,0.3025902668759812,0.7055386133087987,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top20_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),5,0.15,0,9908.217,-0.00857836,-0.0023468733,-0.5552144069954312,-0.010071164,158,87,259.4735107421875,-351.25653076171875,323,0.19814241486068113,0.7387008867265904,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top5_SL15_ZWin0.csv
